lon,lat,building_count,dist_to_nearest_building_m,pole_count,dist_to_nearest_pole_m,population,buildings_within_1000m,buildings_within_3000m,poles_within_5000m,poles_within_10000m,dist_to_nearest_road_m,roads_within_2000m,ntl_radiance,google_building_count,google_buildings_within_1000m,electrification_prob,score_pop,score_building,score_grid_dist,suitability_score,local_suitability_score,region_n_candidates,region_mean_electrification_prob,rank
39.97250000000305,-2.84250000000004,0.0,15480.421505889302,0.0,17768.669758876156,94.50376892089844,0.0,0.0,0.0,0.0,18473.98835795125,0.0,0.0,44.0,513.0,0.1619858741760254,0.040597498600927144,0.0,0.04567655160697015,0.029941964922461903,0.6093657176759838,206.0,0.04319944977760315,1
34.34250000000017,4.2074999999998095,0.0,34628.62002737042,0.0,112599.3651181036,377.3179931640625,0.0,0.0,0.0,0.0,526.391964845894,78.0,0.0,138.0,433.0,0.16065248847007751,0.19470468152445142,0.0,0.297310236415352,0.16707494353438618,0.628731808402746,774.0,0.0512382835149765,2
36.05750000000105,3.082499999999834,0.0,14809.247111180232,0.0,42358.53662486465,117.19353485107422,0.0,0.0,0.0,0.0,4886.551614956522,0.0,0.0,1.0,30.0,0.13151320815086365,0.052961289418206256,0.0,0.11092587604772085,0.05446227858159876,0.6779602943420093,304.0,0.054994095116853714,3
38.84250000000248,0.4224999999998907,1.0,0.0,0.0,128714.5393885244,21.793643951416016,8.0,9.0,0.0,0.0,9144.93902920555,0.0,0.0,0.0,0.0,0.05495943874120712,0.000977311324101446,0.8888888888888888,0.3400719252085644,0.36907916875887653,0.5725379716925787,1887.0,0.06602457165718079,4
38.082500000002085,-0.9175000000000808,0.0,35972.39253927934,0.0,95601.87132059709,206.36854553222656,0.0,0.0,0.0,0.0,1421.331676186103,56.0,0.0,18.0,248.0,0.1598401814699173,0.1015532925963482,0.0,0.2522073087127556,0.11628350965236595,0.5744098927516466,4896.0,0.06639040261507034,5
39.62250000000287,-0.4325000000000911,0.0,784.8885271170678,0.0,15638.793112001962,410.3374938964844,1.0,7.0,0.0,0.0,3199.868799105588,0.0,0.0,8.0,65.0,0.1388304978609085,0.21269720737081638,0.1111111111111111,0.040024914161836476,0.13041969053021082,0.46392521101719925,1041.0,0.06645320355892181,6
40.15750000000315,2.232499999999852,0.0,76198.8927084902,0.0,145108.88670236568,190.3445281982422,0.0,0.0,0.0,0.0,909.5017929358784,9.0,0.0,0.0,5.0,0.07068046182394028,0.09282170854301272,0.0,0.38357440095213025,0.15220100370284417,0.5256900133061886,7105.0,0.06670166552066803,7
40.85750000000351,3.25749999999983,0.0,16686.95897999393,0.0,40651.61897145058,444.4378662109375,0.0,0.0,0.0,0.0,820.7973279366184,10.0,0.0,0.0,0.0,0.10398799180984497,0.2312787066857354,0.0,0.10639656223043831,0.12443045134342566,0.5508890772201586,11599.0,0.06887110322713852,8
36.79750000000143,1.7824999999998616,1.0,0.0,0.0,10675.638154227596,252.17495727539065,9.0,80.0,0.0,0.0,729.4588361970581,151.0,0.0,81.0,559.0,0.17708928883075714,0.12651348366334572,1.0,0.02685515973191465,0.35866194138491264,0.7472301263001497,1517.0,0.07161512970924377,9
37.182500000001625,1.7324999999998627,0.0,3330.0,0.0,10946.311022440392,166.16064453125,0.0,0.0,0.0,0.0,12009.25237819142,0.0,0.0,0.0,0.0,0.11828930675983429,0.07964376392567978,0.0,0.027573391428392578,0.04012952299878969,0.4674131784273322,118.0,0.0748196467757225,10
