rank,lon,lat,electrification_prob,local_suitability_score,region_mean_electrification_prob,served_population,est_households,daily_demand_kwh,solar_pv_kw,battery_kwh,topology,capex_usd
12,39.98250000000306,-2.84250000000004,0.2654436528682709,0.559678807395735,0.0533106885850429,1051.5544919967651,234,35.1,8.50909090909091,65.8125,AC three-phase mini-grid,1170000
13,39.60750000000287,0.0074999999998995,0.211495041847229,0.6085701527922666,0.0578972436487674,547.7254953384399,122,18.3,4.4363636363636365,34.3125,AC three-phase mini-grid,610000
14,38.90750000000251,-0.0675000000000988,0.2769160270690918,0.7939196154374539,0.0596803985536098,1286.2917442321777,286,42.9,10.4,80.43749999999999,AC three-phase mini-grid,1430000
15,37.182500000001625,1.7324999999998627,0.1603932082653045,0.5167960155229229,0.0601777620613575,511.1271584033966,114,17.099999999999998,4.145454545454545,32.06249999999999,AC three-phase mini-grid,570000
16,36.25750000000115,1.0324999999998776,0.2107655555009842,0.8125910711403481,0.0605348907411098,1670.792148590088,371,55.65,13.49090909090909,104.34374999999999,AC three-phase mini-grid,1855000
17,39.45750000000279,-3.3175000000000296,0.1272393316030502,0.5564847130575783,0.061401966959238,332.0645270347595,74,11.1,2.690909090909091,20.812499999999996,AC three-phase mini-grid,370000
18,37.28250000000168,3.682499999999821,0.1381337791681289,0.8478523223185093,0.0623268410563468,75.46831107139587,17,2.55,0.6181818181818182,4.781249999999999,DC cluster,85000
19,40.85750000000351,3.25749999999983,0.2046861201524734,0.5182822764743261,0.0649387016892433,3049.518768310547,678,101.7,24.654545454545456,190.6875,AC three-phase mini-grid,3390000
20,34.33250000000017,4.2074999999998095,0.294175922870636,0.6957322491802038,0.0661389231681823,1680.4012203216553,373,55.949999999999996,13.563636363636363,104.90624999999999,AC three-phase mini-grid,1865000
21,35.50750000000077,2.507499999999846,0.2295042276382446,0.6958076845790033,0.0667386204004287,916.7184658050537,204,30.599999999999998,7.418181818181818,57.37499999999999,AC three-phase mini-grid,1020000
22,40.447500000003295,-0.0425000000000994,0.3184911608695984,0.5803750107118688,0.0670445337891578,2496.8489322662354,555,83.25,20.181818181818183,156.09375,AC three-phase mini-grid,2775000
